OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,60,943,179,427,903,857,180,956,941,37
+,573,406,806,507,190,959,766,985,893,948
+,91,897,38,9,305,581,617,109,950,343
+,68,465,656,556,536,505,910,961,137,871
+,738,479,279,197,828,115,338,166,748,469
+,987,263,735,190,14,754,345,809,302,581
+,767,775,197,179,625,876,654,918,415,846
+,1749,527,335,88,410,685,97,189,143,488
+,1812,958,254,6,267,392,241,457,771,273
+,1359,337,309,596,740,586,11,267,669,368
+,1224,241,63,683,121,476,314,163,415,702
+,132,945,916,909,720,788,318,706,120,654
+,1249,963,302,376,629,226,224,980,136,489
+,1032,465,765,620,382,425,718,562,934,482
+,926,550,821,680,845,223,780,253,696,772
+,1171,894,806,83,538,457,540,720,370,79
+,1684,577,114,63,848,560,924,517,207,586
+,122,153,168,335,874,532,452,119,696,210
+,1750,597,500,93,920,522,456,828,56,464
+,527,525,425,467,577,59,572,473,688,826
+,1600,740,22,405,260,836,3,763,223,592
+,1114,46,433,352,717,65,554,61,957,915
+,1001,956,483,32,293,418,184,787,138,784
+,196,746,661,986,430,383,912,391,459,890
+,1406,928,386,384,82,699,987,677,895,552
+,1914,669,880,356,121,182,550,402,541,130
+,1331,228,854,3,774,23,305,474,689,736
+,463,434,544,388,843,235,253,471,354,158
+,1183,193,959,896,742,783,115,32,828,676
+,401,629,784,958,904,910,16,246,211,68
+,1363,608,34,457,612,688,720,893,49,250
+,67,45,411,449,239,552,222,772,884,794
+,1677,143,515,296,239,835,938,749,589,326
+,368,612,791,688,838,328,242,309,897,146
+,1942,533,226,423,307,281,62,570,971,605
+,69,752,933,179,641,695,437,569,507,48
+,819,352,964,658,687,390,804,537,326,713
+,1163,418,152,307,385,188,772,550,484,246
+,1376,230,307,878,724,147,825,474,936,59
+,1580,422,991,426,570,542,137,397,248,261
+,591,338,662,80,944,460,867,379,94,548
+,1031,849,195,52,274,386,689,619,617,40
+,426,74,192,823,779,601,741,687,572,222
+,1419,213,890,928,340,310,979,930,15,216
+,708,194,985,759,120,764,772,490,936,248
+,759,618,720,209,406,937,245,565,329,794
+,1904,389,477,546,664,367,315,267,368,525
+,787,509,477,100,822,739,480,779,859,327
+,187,208,379,320,423,46,576,884,226,759
+,547,16,267,566,957,598,593,737,427,302
+,1623,200,337,235,388,583,853,251,511,563
+,971,966,701,345,263,781,841,500,989,740
+,1275,757,502,471,172,750,814,360,173,143
+,1634,559,500,188,938,910,555,657,980,60
+,1291,34,859,867,76,967,837,684,49,782
+,1037,422,140,862,645,236,69,724,154,9
+,1545,517,466,382,61,632,653,682,956,631
+,1949,494,675,499,16,6,544,564,421,12
+,1495,542,739,281,548,1000,293,17,514,832
+,32,690,440,825,962,931,183,109,940,98
+,1258,152,246,196,634,539,258,834,362,273
+,1832,406,80,382,982,415,470,578,249,713
+,1930,307,700,847,868,82,669,878,665,777
+,291,95,415,388,386,565,487,57,652,9
+,1879,175,84,511,865,444,660,803,339,579
+,1239,878,997,97,916,540,941,43,235,216
+,1479,888,708,908,580,486,277,47,946,76
+,297,947,287,920,556,577,673,33,183,951
+,1332,322,16,984,212,601,147,770,840,729
+,1223,407,951,78,306,166,577,246,580,854
+,730,398,693,918,553,339,393,773,757,143
+,1931,705,741,80,512,763,997,354,54,100
+,652,237,858,77,348,619,787,628,977,609
+,518,992,792,334,30,649,279,802,461,502
+,1100,364,566,963,384,442,190,696,599,676
+,1548,87,790,633,302,817,252,730,75,84
+,1233,157,389,728,802,649,157,757,398,324
+,1625,109,93,5,965,315,455,368,779,276
+,1475,135,89,191,441,459,570,568,524,417
+,24,26,91,362,567,95,611,612,803,332
+,1175,394,12,298,423,397,797,86,742,922
+,535,926,248,585,533,173,701,389,173,142
+,1695,308,274,504,149,64,171,445,282,431
+,1802,495,801,78,369,257,966,252,738,640
+,1808,608,631,200,468,109,138,311,6,971
+,1977,340,861,635,389,823,882,337,450,342
+,1109,835,843,880,666,997,608,139,307,328
+,800,970,711,205,490,321,181,987,407,991
+,1503,298,752,711,648,502,990,589,800,248
+,1658,385,287,836,804,402,373,116,954,577
+,1627,606,558,184,698,786,563,27,975,744
+,1688,965,725,214,448,816,298,851,709,70
+,1579,868,814,814,418,689,511,142,648,310
+,156,258,674,157,732,433,808,386,75,459
+,545,490,596,410,547,518,945,942,890,708
+,1515,556,37,809,991,368,718,916,831,549
+,265,653,936,87,111,787,254,673,680,363
+,1883,662,627,45,576,660,693,662,409,990
+,1207,339,988,815,440,108,10,100,264,227
+,1651,764,531,571,594,704,589,226,456,383
+,955,474,790,695,602,707,512,154,353,25
+,1368,107,302,425,942,984,87,118,851,963
+,1910,145,356,319,351,466,803,211,533,494
+,304,487,99,448,739,713,463,326,68,307
+,182,829,727,117,23,869,351,663,111,693
+,288,168,952,758,249,528,178,565,163,338
+,358,436,981,473,237,816,414,644,188,190
+,199,673,442,405,29,755,628,904,202,460
+,461,439,398,4,721,219,210,285,770,720
+,1063,815,64,591,104,818,892,549,191,374
+,813,201,468,116,268,686,883,501,540,989
+,121,320,611,397,625,401,601,116,356,360
+,1044,468,632,176,833,689,722,819,304,940
+,712,604,86,688,137,320,120,244,312,119
+,1965,382,710,144,523,397,428,610,141,588
+,578,433,190,498,650,550,710,941,660,953
+,713,568,170,501,295,143,191,322,862,461
+,1966,54,886,367,974,9,496,139,199,834
+,361,986,575,517,668,506,418,701,503,425
+,1286,860,454,500,171,84,578,31,814,779
+,1170,299,33,281,230,550,295,172,799,468
+,908,760,791,784,507,562,523,115,586,116
+,458,793,556,843,375,555,842,774,42,778
+,98,451,559,223,435,104,753,849,669,769
+,1434,304,895,33,460,269,356,882,836,89
+,1638,886,120,794,831,242,214,830,755,602
+,736,359,881,727,624,647,438,169,630,142
+,1501,211,833,211,824,60,583,359,545,287
+,1294,551,172,331,720,299,296,586,273,975
+,1736,526,921,695,834,97,138,985,768,804
+,842,940,60,283,887,671,129,718,886,135
+,344,149,728,329,848,253,779,863,692,402
+,1341,145,591,647,275,642,424,384,462,77
+,1881,813,901,787,95,412,527,767,284,711
+,718,898,377,465,973,499,335,595,2,889
+,1401,867,750,95,748,995,469,650,680,714
+,729,870,64,814,547,407,223,991,439,844
+,357,506,274,330,848,290,345,560,591,133
+,18,872,496,807,351,915,698,780,49,47
+,1656,641,802,856,470,16,127,951,878,161
+,1392,467,0,981,438,207,705,931,135,903
+,1633,309,162,895,955,897,280,95,670,369
+,671,84,380,680,925,664,169,53,405,640
+,1303,743,716,773,239,439,671,93,720,97
+,666,218,488,79,135,607,231,531,696,455
+,630,8,712,351,836,123,880,432,710,135
+,751,72,234,392,91,748,825,104,105,320
+,274,902,306,140,391,792,832,771,895,136
+,636,693,146,70,543,576,8,624,665,168
+,17,359,739,218,643,766,155,941,421,630
+,1559,453,880,222,88,918,102,143,770,126
+,486,747,393,359,986,439,322,810,143,253
+,1315,660,86,254,566,615,614,738,622,291
+,252,963,707,27,868,867,674,896,308,210
+,1616,621,521,193,765,401,302,661,55,802
+,993,812,977,245,506,395,115,246,511,653
+,363,72,540,910,12,369,956,324,135,396
+,872,859,582,430,374,559,699,176,781,482
+,1028,788,74,17,601,69,14,268,220,40
+,1356,61,971,808,407,518,293,643,729,513
+,225,425,433,718,411,84,655,549,550,630
+,1944,284,85,317,80,523,943,208,997,827
+,782,549,334,400,600,649,781,854,665,697
+,982,67,317,715,447,747,976,866,244,59
+,296,88,946,444,118,464,626,623,56,316
+,1203,759,673,758,179,122,12,724,140,718
+,1831,167,508,975,355,535,529,801,842,738
+,809,170,380,129,767,799,894,275,750,907
+,595,789,921,30,343,826,439,278,536,65
+,1538,729,998,590,642,78,508,466,523,368
+,1536,511,879,580,170,376,161,261,791,105
+,197,587,690,740,118,233,758,521,2,45
+,537,883,12,250,47,483,372,392,942,153
+,914,953,983,878,36,566,822,935,731,758
+,1430,429,229,329,254,426,937,737,327,277
+,1969,79,585,381,122,514,689,923,53,183
+,1939,823,528,47,976,410,70,898,476,886
+,1132,792,865,318,335,88,566,467,8,377
+,1395,298,577,803,311,757,637,248,475,377
+,74,995,505,791,794,200,750,922,559,778
+,888,251,154,6,954,419,24,238,554,354
+,1659,859,710,898,9,973,343,1,777,673
+,1474,869,755,744,314,106,210,542,243,429
+,1477,984,61,995,145,728,286,95,44,943
+,1425,918,865,532,422,717,917,381,469,997
+,594,86,594,97,517,136,652,839,403,76
+,793,581,63,445,678,987,133,242,298,267
+,1853,322,948,820,402,717,851,753,334,325
+,1417,278,239,76,966,207,139,798,788,598
+,773,159,108,168,460,477,321,416,123,548
+,86,987,788,212,462,315,474,271,872,122
+,1162,161,826,702,311,846,721,713,617,41
+,113,855,877,335,151,93,728,254,991,364
+,427,525,50,693,306,266,839,178,31,974
+,385,875,463,569,766,563,255,96,473,104
+,396,812,143,124,12,63,850,799,227,133
+,656,843,410,381,702,645,960,660,86,596
+,1374,265,939,832,76,22,66,202,924,661
+,1333,828,131,94,926,867,849,828,339,125
+,409,964,472,51,172,946,587,443,841,741
+,879,508,30,391,699,436,176,362,219,930
+,1975,281,286,456,904,152,35,628,634,631
+,1480,662,302,510,421,903,563,490,62,89
+,45,392,140,429,204,658,905,816,538,255
+,1447,821,556,813,19,391,800,730,367,491
+,1343,800,496,352,934,579,514,329,397,276
+,87,26,326,611,224,30,917,830,797,287
+,1464,828,483,542,366,785,598,238,997,163
+,10,253,672,246,272,546,835,810,939,754
+,1489,782,970,224,589,866,816,397,363,957
+,428,865,177,180,242,606,325,825,755,714
+,1306,935,605,28,720,717,360,970,581,577
+,213,576,971,192,856,829,902,993,504,555
+,207,179,502,38,92,57,238,616,224,20
+,876,489,0,339,939,628,206,825,133,348
+,402,181,940,821,864,889,331,60,22,151
+,1021,721,939,145,792,113,866,538,881,373
+,1061,74,382,721,964,678,405,600,103,344
+,1214,330,139,999,161,749,971,447,810,654
+,1386,498,664,324,178,724,991,575,710,910
+,1640,628,805,365,228,681,603,834,179,387
+,1666,751,705,301,130,181,746,1,971,718
+,560,586,400,871,789,988,581,33,186,616
+,1950,943,828,990,626,226,654,579,106,959
+,1487,144,339,763,79,243,355,327,171,651
+,586,986,90,841,725,686,654,746,907,343
+,580,11,271,214,255,709,69,358,262,805
+,544,737,1,49,395,448,750,429,992,170
+,1645,423,504,902,387,359,559,384,103,848
+,1002,807,884,591,666,776,703,230,166,462
+,815,818,866,34,301,20,326,267,974,107
+,439,350,174,909,384,164,749,76,560,964
+,89,95,346,608,628,914,494,721,31,441
+,349,669,168,621,911,444,160,54,103,339
+,254,997,194,419,713,567,739,947,747,553
+,1455,676,288,304,243,98,50,402,585,562
+,1137,502,157,55,369,3,437,89,301,843
+,1216,640,614,491,204,99,26,211,174,653
+,763,1000,83,484,864,118,315,803,407,482
+,575,916,676,271,93,657,557,396,189,379
+,757,390,378,191,456,45,269,450,476,269
+,1996,857,275,577,63,154,770,713,683,99
+,1492,684,352,827,554,423,994,774,603,232
+,1511,62,860,396,838,535,428,988,548,703
+,382,958,486,586,902,241,487,306,80,404
+,1082,874,731,35,514,584,922,529,819,585
+,695,635,150,123,972,775,459,177,971,171
+,1835,216,827,197,129,43,433,80,699,445
+,1743,842,642,151,854,609,264,327,932,744
+,1926,826,68,89,397,569,406,565,333,877
+,1256,532,469,939,894,12,805,717,638,601
+,269,800,429,115,424,153,151,580,602,596
+,626,987,962,102,947,108,576,798,103,804
+,1484,888,548,901,352,898,420,270,392,670
+,1124,585,623,484,38,176,282,412,147,633
+,1427,697,710,411,39,405,910,900,339,707
+,1716,50,763,486,942,275,918,381,20,345
+,176,812,310,318,287,863,503,878,712,701
+,1297,995,889,233,137,307,997,761,453,792
+,1748,328,275,746,426,619,661,91,192,452
+,525,935,843,416,758,496,777,528,888,382
+,1681,57,527,810,162,67,318,726,518,413
+,523,799,871,536,900,582,29,177,197,896
+,1891,205,857,59,255,33,467,51,940,369
+,1057,203,280,377,843,475,517,406,650,945
+,1855,697,31,247,381,500,608,456,181,983
+,1742,485,600,564,358,352,167,857,915,264
+,1388,850,705,92,291,28,395,50,166,874
+,854,798,988,219,877,226,662,230,693,211
+,387,667,419,525,20,885,799,990,785,698
+,977,485,933,135,662,177,615,820,8,229
+,953,622,824,965,312,729,990,726,658,281
+,1781,916,385,872,357,470,258,223,477,309
+,655,533,844,638,406,598,104,7,523,678
+,1424,863,859,383,574,662,608,623,289,305
+,1952,110,493,65,344,283,655,332,882,283
+,1628,671,728,975,913,667,305,192,153,529
+,1979,246,921,58,824,877,821,829,614,413
+,1694,327,697,143,738,26,671,509,302,265
+,290,428,414,397,754,36,597,725,585,835
+,662,351,743,730,227,702,547,653,803,487
+,1901,963,687,367,519,307,865,174,860,673
+,1510,571,185,300,99,482,131,758,264,742
+,721,572,781,934,187,969,696,921,343,670
+,723,227,363,228,762,892,314,430,807,908
+,960,380,266,599,301,474,871,120,481,54
+,214,649,597,594,966,635,72,483,910,199
+,1544,122,888,697,390,542,305,423,55,891
+,1174,154,140,205,350,419,583,914,928,468
+,522,323,883,732,184,797,82,499,340,646
+,477,320,649,59,4,462,280,214,779,792
+,1795,590,782,162,501,804,781,798,90,132
+,1410,444,648,439,413,439,988,488,392,4
+,1858,546,204,748,382,972,14,913,329,775
+,1119,543,195,18,692,4,641,751,254,231
+,1861,898,352,319,132,105,392,515,602,313
+,400,66,843,46,305,971,297,466,745,532
+,1115,536,345,444,909,703,137,350,923,501
+,1674,768,192,168,970,928,940,831,413,19
+,1618,229,744,134,216,751,22,603,516,173
+,1405,375,728,666,811,38,384,897,655,261
+,920,547,638,49,608,49,677,110,669,856
+,1620,49,706,118,426,454,389,126,560,258
+,1504,718,156,210,711,702,645,9,308,430
+,610,103,678,532,276,637,620,717,140,428
+,839,920,107,523,736,632,120,289,116,803
+,744,509,203,623,204,796,269,851,535,996
+,1352,366,720,419,302,164,40,561,508,932
+,136,704,955,492,338,240,2,13,687,91
+,1514,113,855,587,685,505,152,972,92,798
+,414,76,740,740,103,926,262,659,236,467
+,937,303,270,475,51,102,832,178,895,40
+,1961,297,368,820,693,320,436,756,118,97
+,1851,776,911,46,9,872,141,679,662,174
+,1016,366,915,448,978,636,274,899,750,95
+,345,834,350,187,116,410,409,985,467,278
+,1755,394,706,871,489,819,431,664,907,816
+,1108,115,135,712,743,60,965,864,163,106
+,805,933,604,494,821,582,694,448,185,625
+,1519,797,367,626,29,883,700,901,858,744
+,1528,913,133,494,942,499,115,908,421,451
+,115,64,267,670,321,12,721,889,694,537
+,1222,761,590,741,578,229,978,685,894,346
+,1454,535,704,717,633,97,443,677,744,254
+,1566,354,679,692,656,394,152,859,846,571
+,935,627,55,11,658,956,160,517,869,480
+,188,507,890,169,76,769,503,328,246,338
+,1277,284,51,519,228,563,658,387,412,836
+,1172,80,470,454,820,586,458,90,877,510
+,898,323,121,509,763,669,18,105,413,422
+,1874,570,562,0,845,93,810,618,986,633
+,983,311,911,520,575,211,670,687,467,973
+,1915,372,845,55,836,228,864,465,339,573
+,1451,634,614,484,733,672,372,733,463,116
+,108,777,674,227,2,349,363,849,648,987
+,1081,298,560,534,382,718,108,46,918,168
+,1030,143,841,734,760,738,419,109,260,625
+,1227,192,123,952,872,402,220,468,844,800
+,180,733,346,110,775,424,47,948,648,857
+,159,602,126,790,913,461,468,674,603,979
+,307,137,986,510,4,543,753,49,566,957
+,1418,858,599,494,946,520,799,943,932,181
+,1787,592,177,748,834,131,106,396,673,614
+,1026,903,329,516,902,393,428,623,937,709
+,1164,254,280,407,986,351,993,301,463,824
+,384,141,422,616,716,907,766,524,306,863
+,1443,560,881,321,728,754,957,566,647,222
+,181,214,639,731,297,703,353,943,688,135
+,901,665,998,981,182,515,555,710,652,330
+,1587,118,779,360,575,491,596,584,965,683
+,1193,427,690,765,915,861,546,292,898,867
+,894,827,13,535,109,25,390,148,54,686
+,1009,204,273,768,804,164,293,699,256,149
+,1660,63,707,803,302,208,771,554,33,367
+,734,463,104,630,888,691,757,575,885,229
+,1647,662,574,398,243,523,803,815,817,712
+,1154,709,680,48,948,390,396,426,979,807
+,1027,701,320,989,565,55,13,761,257,207
+,415,889,799,881,891,453,849,230,933,648
+,1307,726,663,376,773,602,559,756,617,201
+,378,742,987,198,301,459,181,699,76,191
+,381,177,752,526,122,386,41,438,285,569
+,49,133,164,598,866,261,5,338,477,726
+,657,158,40,157,950,330,611,52,792,954
+,737,630,863,677,308,502,808,586,563,366
+,1719,802,724,325,538,225,979,188,533,69
+,970,517,163,425,556,549,413,94,357,226
+,1759,218,679,339,339,369,300,223,973,770
+,1924,543,486,574,843,770,664,9,117,684
+,685,456,246,926,657,628,940,636,249,981
+,351,698,906,328,390,937,815,967,116,395
+,1421,553,741,289,25,933,529,841,788,383
+,1348,822,520,456,498,44,303,919,667,197
+,1822,526,84,970,98,171,994,979,791,550
+,1439,7,641,67,215,686,644,792,218,885
+,1413,434,855,106,210,550,848,719,899,999
+,1325,793,445,662,836,962,73,764,702,157
+,160,470,734,339,38,89,75,55,182,813
+,1921,571,72,588,841,233,932,264,417,397
+,1878,645,414,443,323,17,398,689,121,547
+,1369,656,737,633,64,774,763,599,46,717
+,1752,74,366,950,514,108,296,805,702,308
+,1202,88,288,783,948,448,390,404,841,676
+,899,485,160,546,225,139,764,400,815,816
+,1918,558,302,983,649,147,305,693,908,936
+,211,814,887,746,663,382,980,972,11,566
+,1717,568,144,126,42,5,586,610,403,550
+,576,969,87,312,215,766,759,925,743,352
+,628,422,927,661,871,524,145,164,188,226
+,485,854,258,198,117,185,687,818,580,872
+,979,871,769,954,562,472,660,562,74,297
+,1094,68,256,100,202,743,594,498,974,338
+,369,131,687,671,240,102,291,634,71,921
+,1092,325,497,461,336,631,675,313,710,598
+,1011,579,580,373,827,323,981,438,172,4
+,988,252,804,226,729,757,656,446,283,860
+,1903,137,695,750,339,898,491,473,456,367
+,1617,312,498,564,111,179,661,621,83,861
+,639,879,846,143,912,551,201,269,751,907
+,1318,78,744,77,913,19,869,519,646,31
+,359,595,592,414,787,604,217,928,37,564
+,1847,556,915,552,483,669,793,152,374,401
+,1438,912,790,603,750,877,297,137,475,513
+,220,92,406,372,514,10,678,244,868,987
+,1014,628,700,169,775,526,143,456,163,183
+,912,971,579,675,893,990,149,753,749,495
+,749,367,41,224,779,499,237,64,270,378
?,44,44,44,44,44,44,44,44,44,44
?,685,685,685,685,685,685,685,685,685,685
?,212,212,212,212,212,212,212,212,212,212
?,531,531,531,531,531,531,531,531,531,531
?,930,930,930,930,930,930,930,930,930,930
?,811,811,811,811,811,811,811,811,811,811
?,370,370,370,370,370,370,370,370,370,370
?,398,398,398,398,398,398,398,398,398,398
?,481,481,481,481,481,481,481,481,481,481
?,940,940,940,940,940,940,940,940,940,940
?,466,466,466,466,466,466,466,466,466,466
?,903,903,903,903,903,903,903,903,903,903
?,48,48,48,48,48,48,48,48,48,48
?,41,41,41,41,41,41,41,41,41,41
?,665,665,665,665,665,665,665,665,665,665
?,332,332,332,332,332,332,332,332,332,332
?,106,106,106,106,106,106,106,106,106,106
?,721,721,721,721,721,721,721,721,721,721
?,534,534,534,534,534,534,534,534,534,534
?,649,649,649,649,649,649,649,649,649,649
?,850,850,850,850,850,850,850,850,850,850
?,281,281,281,281,281,281,281,281,281,281
?,855,855,855,855,855,855,855,855,855,855
?,760,760,760,760,760,760,760,760,760,760
?,270,270,270,270,270,270,270,270,270,270
?,593,593,593,593,593,593,593,593,593,593
?,558,558,558,558,558,558,558,558,558,558
?,584,584,584,584,584,584,584,584,584,584
?,179,179,179,179,179,179,179,179,179,179
?,386,386,386,386,386,386,386,386,386,386
?,670,670,670,670,670,670,670,670,670,670
?,388,388,388,388,388,388,388,388,388,388
?,375,375,375,375,375,375,375,375,375,375
?,602,602,602,602,602,602,602,602,602,602
?,670,670,670,670,670,670,670,670,670,670
?,920,920,920,920,920,920,920,920,920,920
?,856,856,856,856,856,856,856,856,856,856
?,80,80,80,80,80,80,80,80,80,80
?,530,530,530,530,530,530,530,530,530,530
?,258,258,258,258,258,258,258,258,258,258
?,386,386,386,386,386,386,386,386,386,386
?,930,930,930,930,930,930,930,930,930,930
?,229,229,229,229,229,229,229,229,229,229
?,529,529,529,529,529,529,529,529,529,529
?,416,416,416,416,416,416,416,416,416,416
?,362,362,362,362,362,362,362,362,362,362
?,837,837,837,837,837,837,837,837,837,837
?,889,889,889,889,889,889,889,889,889,889
?,354,354,354,354,354,354,354,354,354,354
?,499,499,499,499,499,499,499,499,499,499
?,812,812,812,812,812,812,812,812,812,812
?,494,494,494,494,494,494,494,494,494,494
?,909,909,909,909,909,909,909,909,909,909
?,619,619,619,619,619,619,619,619,619,619
?,7,7,7,7,7,7,7,7,7,7
?,514,514,514,514,514,514,514,514,514,514
?,904,904,904,904,904,904,904,904,904,904
?,143,143,143,143,143,143,143,143,143,143
?,451,451,451,451,451,451,451,451,451,451
?,170,170,170,170,170,170,170,170,170,170
?,236,236,236,236,236,236,236,236,236,236
?,79,79,79,79,79,79,79,79,79,79
?,527,527,527,527,527,527,527,527,527,527
?,659,659,659,659,659,659,659,659,659,659
?,288,288,288,288,288,288,288,288,288,288
?,217,217,217,217,217,217,217,217,217,217
?,154,154,154,154,154,154,154,154,154,154
?,192,192,192,192,192,192,192,192,192,192
?,162,162,162,162,162,162,162,162,162,162
?,371,371,371,371,371,371,371,371,371,371
?,617,617,617,617,617,617,617,617,617,617
?,735,735,735,735,735,735,735,735,735,735
?,837,837,837,837,837,837,837,837,837,837
?,122,122,122,122,122,122,122,122,122,122
?,677,677,677,677,677,677,677,677,677,677
?,236,236,236,236,236,236,236,236,236,236
?,425,425,425,425,425,425,425,425,425,425
?,831,831,831,831,831,831,831,831,831,831
?,339,339,339,339,339,339,339,339,339,339
?,738,738,738,738,738,738,738,738,738,738
?,117,117,117,117,117,117,117,117,117,117
?,494,494,494,494,494,494,494,494,494,494
?,692,692,692,692,692,692,692,692,692,692
?,491,491,491,491,491,491,491,491,491,491
?,491,491,491,491,491,491,491,491,491,491
?,216,216,216,216,216,216,216,216,216,216
?,605,605,605,605,605,605,605,605,605,605
?,166,166,166,166,166,166,166,166,166,166
?,663,663,663,663,663,663,663,663,663,663
?,854,854,854,854,854,854,854,854,854,854
?,421,421,421,421,421,421,421,421,421,421
?,23,23,23,23,23,23,23,23,23,23
?,250,250,250,250,250,250,250,250,250,250
?,45,45,45,45,45,45,45,45,45,45
?,131,131,131,131,131,131,131,131,131,131
?,588,588,588,588,588,588,588,588,588,588
?,607,607,607,607,607,607,607,607,607,607
?,165,165,165,165,165,165,165,165,165,165
?,138,138,138,138,138,138,138,138,138,138
?,645,645,645,645,645,645,645,645,645,645
?,525,525,525,525,525,525,525,525,525,525
?,41,41,41,41,41,41,41,41,41,41
?,913,913,913,913,913,913,913,913,913,913
?,587,587,587,587,587,587,587,587,587,587
?,151,151,151,151,151,151,151,151,151,151
?,58,58,58,58,58,58,58,58,58,58
?,171,171,171,171,171,171,171,171,171,171
?,265,265,265,265,265,265,265,265,265,265
?,945,945,945,945,945,945,945,945,945,945
?,185,185,185,185,185,185,185,185,185,185
?,530,530,530,530,530,530,530,530,530,530
?,416,416,416,416,416,416,416,416,416,416
?,614,614,614,614,614,614,614,614,614,614
?,578,578,578,578,578,578,578,578,578,578
?,653,653,653,653,653,653,653,653,653,653
?,20,20,20,20,20,20,20,20,20,20
?,900,900,900,900,900,900,900,900,900,900
?,737,737,737,737,737,737,737,737,737,737
?,746,746,746,746,746,746,746,746,746,746
?,678,678,678,678,678,678,678,678,678,678
?,842,842,842,842,842,842,842,842,842,842
?,291,291,291,291,291,291,291,291,291,291
?,970,970,970,970,970,970,970,970,970,970
?,88,88,88,88,88,88,88,88,88,88
?,222,222,222,222,222,222,222,222,222,222
?,460,460,460,460,460,460,460,460,460,460
?,622,622,622,622,622,622,622,622,622,622
?,483,483,483,483,483,483,483,483,483,483
?,889,889,889,889,889,889,889,889,889,889
?,494,494,494,494,494,494,494,494,494,494
?,175,175,175,175,175,175,175,175,175,175
?,225,225,225,225,225,225,225,225,225,225
